Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13	el Psi 14	el Psi 15
8.000000e+002	1.0484e-020	1.0841e-017	6.2781e-016	8.9022e-014	1.1894e-010	1.9787e-008	9.3505e-007	2.0549e-005	2.6821e-004	2.2153e-003	1.1529e-002	3.6721e-002	6.5802e-002	4.9311e-002	-1.7972e-002
8.100000e+002	4.3227e-021	4.8256e-018	2.9704e-016	4.4319e-014	6.5252e-011	1.1701e-008	5.8879e-007	1.3704e-005	1.8928e-004	1.6578e-003	9.1945e-003	3.1533e-002	6.2395e-002	5.7220e-002	-3.2643e-003
8.200000e+002	1.7784e-021	2.1428e-018	1.4016e-016	2.2000e-014	3.5676e-011	6.8917e-009	3.6907e-007	9.0921e-006	1.3279e-004	1.2319e-003	7.2688e-003	2.6762e-002	5.8052e-002	6.2775e-002	1.1663e-002
8.300000e+002	7.3007e-022	9.4918e-019	6.5961e-017	1.0889e-014	1.9440e-011	4.0434e-009	2.3033e-007	6.0020e-006	9.2613e-005	9.0916e-004	5.6984e-003	2.2463e-002	5.3094e-002	6.6030e-002	2.5858e-002
8.400000e+002	2.9908e-022	4.1947e-019	3.0962e-017	5.3750e-015	1.0558e-011	2.3634e-009	1.4313e-007	3.9428e-006	6.4233e-005	6.6657e-004	4.4316e-003	1.8659e-002	4.7808e-002	6.7152e-002	3.8546e-002
8.500000e+002	1.2226e-022	1.8495e-019	1.4497e-017	2.6458e-015	5.7158e-012	1.3763e-009	8.8568e-008	2.5778e-006	4.4307e-005	4.8561e-004	3.4200e-003	1.5346e-002	4.2432e-002	6.6395e-002	4.9151e-002
8.600000e+002	4.9881e-023	8.1360e-020	6.7710e-018	1.2989e-015	3.0846e-012	7.9856e-010	5.4582e-008	1.6776e-006	3.0401e-005	3.5160e-004	2.6198e-003	1.2503e-002	3.7156e-002	6.4062e-002	5.7310e-002
8.700000e+002	2.0310e-023	3.5712e-020	3.1548e-018	6.3601e-016	1.6595e-012	4.6172e-010	3.3504e-008	1.0868e-006	2.0753e-005	2.5305e-004	1.9924e-003	1.0094e-002	3.2122e-002	6.0475e-002	6.2854e-002
8.800000e+002	8.2532e-024	1.5641e-020	1.4664e-018	3.1061e-016	8.9013e-013	2.6604e-010	2.0485e-008	7.0098e-007	1.4095e-005	1.8106e-004	1.5047e-003	8.0763e-003	2.7429e-002	5.5952e-002	6.5788e-002
8.900000e+002	3.3474e-024	6.8357e-021	6.8000e-019	1.5131e-016	4.7603e-013	1.5278e-010	1.2477e-008	4.5018e-007	9.5265e-006	1.2881e-004	1.1285e-003	6.4053e-003	2.3138e-002	5.0789e-002	6.6257e-002
9.000000e+002	1.3551e-024	2.9812e-021	3.1461e-019	7.3530e-017	2.5384e-013	8.7442e-011	7.5714e-009	2.8789e-007	6.4071e-006	9.1110e-005	8.4038e-004	5.0344e-003	1.9278e-002	4.5247e-002	6.4506e-002
9.100000e+002	5.4754e-025	1.2975e-021	1.4523e-019	3.5644e-017	1.3497e-013	4.9883e-011	4.5773e-009	1.8331e-007	4.2877e-006	6.4060e-005	6.2122e-004	3.9191e-003	1.5853e-002	3.9544e-002	6.0847e-002
9.200000e+002	2.2084e-025	5.6354e-022	6.6893e-020	1.7237e-017	7.1563e-014	2.8363e-011	2.7565e-009	1.1620e-007	2.8539e-006	4.4745e-005	4.5540e-004	3.0179e-003	1.2846e-002	3.3854e-002	5.5622e-002
9.300000e+002	8.8909e-026	2.4427e-022	3.0742e-020	8.3154e-018	3.7830e-014	1.6069e-011	1.6529e-009	7.3273e-008	1.8874e-006	3.1002e-005	3.3042e-004	2.2930e-003	1.0228e-002	2.8303e-002	4.9178e-002
9.400000e+002	3.5729e-026	1.0566e-022	1.4094e-020	4.0007e-018	1.9928e-014	9.0629e-012	9.8550e-010	4.5875e-008	1.2371e-006	2.1237e-005	2.3631e-004	1.7107e-003	7.9567e-003	2.2975e-002	4.1840e-002
9.500000e+002	1.4326e-026	4.5579e-023	6.4407e-021	1.9173e-018	1.0439e-014	5.0728e-012	5.8184e-010	2.8369e-008	7.9844e-007	1.4276e-005	1.6515e-004	1.2411e-003	5.9852e-003	1.7912e-002	3.3897e-002
9.600000e+002	5.7178e-027	1.9541e-023	2.9205e-021	9.1024e-019	5.3943e-015	2.7892e-012	3.3599e-010	1.7083e-008	4.9940e-007	9.2509e-006	1.1063e-004	8.5779e-004	4.2608e-003	1.3122e-002	2.5586e-002
9.700000e+002	2.2364e-027	8.1684e-024	1.2850e-021	4.1743e-019	2.6660e-015	1.4539e-012	1.8250e-010	9.6032e-009	2.8946e-007	5.5138e-006	6.7656e-005	5.3718e-004	2.7278e-003	8.5786e-003	1.7089e-002
9.800000e+002	7.6833e-028	2.9552e-024	4.8335e-022	1.6193e-019	1.0918e-015	6.1817e-013	7.9812e-011	4.2979e-009	1.3218e-007	2.5640e-006	3.1981e-005	2.5775e-004	1.3269e-003	4.2267e-003	8.5298e-003
9.900000e+002	-5.4368e-030	-1.9263e-026	-2.9578e-024	-9.4172e-022	-5.7928e-018	-3.0728e-015	-3.7731e-013	-1.9485e-011	-5.7742e-010	-1.0827e-008	-1.3091e-007	-1.0252e-006	-5.1389e-006	-1.5962e-005	-3.1391e-005
1.000000e+003	4.7238e-029	1.8123e-025	2.9591e-023	9.9010e-021	6.6626e-017	3.7674e-014	4.8599e-012	2.6153e-010	8.0391e-009	1.5586e-007	1.9433e-006	1.5656e-005	8.0569e-005	2.5657e-004	5.1763e-004
