Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13
6.900000e+002	1.8240e-016	-5.8868e-022	1.0842e-010	1.3491e-007	1.5643e-005	4.7463e-004	5.5664e-003	2.9514e-002	7.0908e-002	5.4944e-002	-3.7817e-002	-2.7778e-002	5.0666e-002
7.000000e+002	6.9623e-017	-2.4993e-022	5.2971e-011	7.5572e-008	9.7134e-006	3.2254e-004	4.1288e-003	2.4055e-002	6.5133e-002	6.4531e-002	-2.3915e-002	-4.1666e-002	4.3541e-002
7.100000e+002	2.6502e-017	-1.0577e-022	2.5779e-011	4.2121e-008	5.9945e-006	2.1754e-004	3.0335e-003	1.9354e-002	5.8598e-002	7.0957e-002	-8.0582e-003	-5.0898e-002	3.0230e-002
7.200000e+002	1.0061e-017	-4.4622e-023	1.2497e-011	2.3364e-008	3.6776e-006	1.4567e-004	2.2087e-003	1.5386e-002	5.1746e-002	7.4353e-002	8.4079e-003	-5.4760e-002	1.2814e-002
7.300000e+002	3.8092e-018	-1.8768e-023	6.0359e-012	1.2899e-008	2.2434e-006	9.6870e-005	1.5944e-003	1.2094e-002	4.4931e-002	7.5027e-002	2.4290e-002	-5.3179e-002	-6.2650e-003
7.400000e+002	1.4386e-018	-7.8703e-024	2.9047e-012	7.0888e-009	1.3610e-006	6.3989e-005	1.1415e-003	9.4052e-003	3.8415e-002	7.3403e-002	3.8631e-002	-4.6630e-002	-2.4568e-002
7.500000e+002	5.4192e-019	-3.2910e-024	1.3929e-012	3.8787e-009	8.2124e-007	4.1998e-005	8.1080e-004	7.2407e-003	3.2379e-002	6.9958e-002	5.0745e-002	-3.5997e-002	-3.9975e-002
7.600000e+002	2.0365e-019	-1.3722e-024	6.6563e-013	2.1131e-009	4.9300e-007	2.7393e-005	5.7157e-004	5.5211e-003	2.6933e-002	6.5178e-002	6.0225e-002	-2.2417e-002	-5.0897e-002
7.700000e+002	7.6347e-020	-5.7062e-025	3.1703e-013	1.1465e-009	2.9447e-007	1.7761e-005	4.0001e-004	4.1716e-003	2.2129e-002	5.9518e-002	6.6915e-002	-7.1266e-003	-5.6393e-002
7.800000e+002	2.8556e-020	-2.3665e-025	1.5050e-013	6.1949e-010	1.7504e-007	1.1449e-005	2.7799e-004	3.1247e-003	1.7972e-002	5.3380e-002	7.0871e-002	8.6681e-003	-5.6187e-002
