Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13	el Psi 14	el Psi 15	el Psi 16	el Psi 17
6.900000e+002	9.6553e-017	-7.8041e-019	3.5667e-011	3.2897e-008	-9.7033e-011	3.2120e-006	9.2604e-005	1.1761e-003	7.9138e-003	3.0564e-002	6.7652e-002	7.3905e-002	5.0349e-003	-5.8739e-002	-4.5408e-003	5.1925e-002	-1.7424e-002
7.000000e+002	3.5087e-017	-2.8987e-019	1.6218e-011	1.6887e-008	-1.7693e-010	1.8056e-006	5.6386e-005	7.7360e-004	5.6419e-003	2.3860e-002	5.9257e-002	7.8311e-002	2.7088e-002	-5.1438e-002	-2.8399e-002	4.8792e-002	9.5025e-003
7.100000e+002	1.2689e-017	-1.0714e-019	7.3263e-012	8.5993e-009	-3.2561e-010	1.0056e-006	3.3962e-005	5.0239e-004	3.9602e-003	1.8258e-002	5.0421e-002	7.8220e-002	4.6308e-002	-3.6448e-002	-4.6791e-002	3.4237e-002	3.3812e-002
7.200000e+002	4.5669e-018	-3.9403e-020	3.2881e-012	4.3450e-009	-6.0462e-010	5.5498e-007	2.0241e-005	3.2224e-004	2.7387e-003	1.3712e-002	4.1797e-002	7.4543e-002	6.1220e-002	-1.6432e-002	-5.6719e-002	1.2065e-002	4.9204e-002
7.300000e+002	1.6359e-018	-1.4421e-020	1.4663e-012	2.1786e-009	-1.1327e-009	3.0355e-007	1.1939e-005	2.0422e-004	1.8671e-003	1.0117e-002	3.3831e-002	6.8311e-002	7.1145e-002	5.6604e-003	-5.7042e-002	-1.2651e-002	5.2184e-002
7.400000e+002	5.8329e-019	-5.2529e-021	6.4978e-013	1.0841e-009	-2.1402e-009	1.6459e-007	6.9716e-006	1.2792e-004	1.2555e-003	7.3402e-003	2.6785e-002	6.0522e-002	7.6092e-002	2.7103e-002	-4.8361e-002	-3.4845e-002	4.2603e-002
7.500000e+002	2.0701e-019	-1.9042e-021	2.8615e-013	5.3549e-010	-4.0783e-009	8.8473e-008	4.0310e-006	7.9225e-005	8.3310e-004	5.2407e-003	2.0776e-002	5.2047e-002	7.6587e-002	4.5743e-002	-3.2601e-002	-5.0488e-002	2.3253e-002
7.600000e+002	7.3128e-020	-6.8705e-022	1.2524e-013	2.6256e-010	-7.8362e-009	4.7159e-008	2.3084e-006	4.8528e-005	5.4576e-004	3.6848e-003	1.5808e-002	4.3577e-002	7.3474e-002	6.0175e-002	-1.2440e-002	-5.7217e-002	-1.1619e-003
7.700000e+002	2.5716e-020	-2.4673e-022	5.4484e-014	1.2781e-010	-1.5180e-008	2.4929e-008	1.3095e-006	2.9406e-005	3.5311e-004	2.5531e-003	1.1811e-002	3.5605e-002	6.7735e-002	6.9756e-002	9.2587e-003	-5.4494e-002	-2.5337e-002
7.800000e+002	9.0027e-021	-8.8195e-023	2.3560e-014	6.1776e-011	-2.9642e-008	1.3071e-008	7.3602e-007	1.7633e-005	2.2573e-004	1.7440e-003	8.6739e-003	2.8444e-002	6.0344e-002	7.4505e-002	2.9918e-002	-4.3386e-002	-4.4568e-002
7.900000e+002	3.1376e-021	-3.1381e-023	1.0127e-014	2.9650e-011	-5.8339e-008	6.7988e-009	4.0995e-007	1.0466e-005	1.4261e-004	1.1753e-003	6.2666e-003	2.2254e-002	5.2163e-002	7.4934e-002	4.7556e-002	-2.6094e-002	-5.5605e-002
8.000000e+002	1.0886e-021	-1.1115e-023	4.3276e-015	1.4132e-011	-1.1571e-007	3.5084e-009	2.2631e-007	6.1494e-006	8.9081e-005	7.8161e-004	4.4570e-003	1.7073e-002	4.3888e-002	7.1865e-002	6.0930e-002	-5.3762e-003	-5.7047e-002
8.100000e+002	3.7606e-022	-3.9191e-024	1.8385e-015	6.6897e-012	-2.3125e-007	1.7965e-009	1.2384e-007	3.5780e-006	5.5029e-005	5.1323e-004	3.1228e-003	1.2858e-002	3.6028e-002	6.6249e-002	6.9524e-002	1.5987e-002	-4.9286e-002
8.200000e+002	1.2934e-022	-1.3757e-024	7.7660e-016	3.1454e-012	-4.6566e-007	9.1284e-010	6.7192e-008	2.0619e-006	3.3627e-005	3.3286e-004	2.1566e-003	9.5166e-003	2.8912e-002	5.9029e-002	7.3447e-002	3.5610e-002	-3.4127e-002
8.300000e+002	4.4291e-023	-4.8073e-025	3.2617e-016	1.4691e-012	-9.4464e-007	4.6035e-010	3.6149e-008	1.1771e-006	2.0332e-005	2.1330e-004	1.4688e-003	6.9272e-003	2.2718e-002	5.1042e-002	7.3256e-002	5.1759e-002	-1.4229e-002
8.400000e+002	1.5102e-023	-1.6725e-025	1.3622e-016	6.8162e-013	-1.9303e-006	2.3043e-010	1.9287e-008	6.6575e-007	1.2167e-005	1.3510e-004	9.8704e-004	4.9629e-003	1.7502e-002	4.2961e-002	6.9783e-002	6.3436e-002	7.4857e-003
8.500000e+002	5.1272e-024	-5.7934e-026	5.6571e-017	3.1420e-013	-3.9729e-006	1.1450e-010	1.0206e-008	3.7315e-007	7.2079e-006	8.4600e-005	6.5473e-004	3.5020e-003	1.3236e-002	3.5282e-002	6.3962e-002	7.0340e-002	2.8328e-002
8.600000e+002	1.7333e-024	-1.9980e-026	2.3364e-017	1.4390e-013	-8.2352e-006	5.6482e-011	5.3577e-009	2.0729e-007	4.2279e-006	5.2394e-005	4.2887e-004	2.4353e-003	9.8344e-003	2.8327e-002	5.6702e-002	7.2737e-002	4.6186e-002
8.700000e+002	5.8351e-025	-6.8608e-027	9.5962e-018	6.5486e-014	-1.7190e-005	2.7664e-011	2.7902e-009	1.1415e-007	2.4559e-006	3.2098e-005	2.7751e-004	1.6698e-003	7.1858e-003	2.2268e-002	4.8799e-002	7.1283e-002	5.9691e-002
8.800000e+002	1.9561e-025	-2.3457e-027	3.9200e-018	2.9613e-014	-3.6132e-005	1.3453e-011	1.4418e-009	6.2316e-008	1.4131e-006	1.9458e-005	1.7745e-004	1.1295e-003	5.1670e-003	1.7161e-002	4.0885e-002	6.6849e-002	6.8236e-002
8.900000e+002	6.5301e-026	-7.9860e-028	1.5927e-018	1.3308e-014	-7.6467e-005	6.4971e-012	7.3928e-010	3.3733e-008	8.0554e-007	1.1674e-005	1.1216e-004	7.5396e-004	3.6586e-003	1.2979e-002	3.3416e-002	6.0362e-002	7.1867e-002
