V	C (Fcm-2)	Initcharge (cm-2)	Finalcharge (cm-2)	ns Total (cm-2)	ps Total (cm-2)
2.400e+000	4.7766e-006	-3.9342e+013	-3.9043e+013	3.9043e+013	5.2500e-015
2.450e+000	4.8100e-006	-4.0839e+013	-4.0538e+013	4.0538e+013	5.2500e-015
2.500e+000	4.8417e-006	-4.2346e+013	-4.2043e+013	4.2043e+013	5.2500e-015
2.550e+000	4.8718e-006	-4.3862e+013	-4.3558e+013	4.3558e+013	5.2500e-015
2.600e+000	4.8989e-006	-4.5388e+013	-4.5082e+013	4.5082e+013	5.2500e-015
2.650e+000	4.9262e-006	-4.6922e+013	-4.6614e+013	4.6614e+013	5.2500e-015
2.700e+000	4.9523e-006	-4.8464e+013	-4.8155e+013	4.8155e+013	5.2500e-015
2.750e+000	4.9773e-006	-5.0014e+013	-4.9703e+013	4.9703e+013	5.2500e-015
2.800e+000	5.0013e-006	-5.1572e+013	-5.1260e+013	5.1260e+013	5.2500e-015
2.850e+000	5.0244e-006	-5.3137e+013	-5.2823e+013	5.2823e+013	5.2500e-015
2.900e+000	5.0467e-006	-5.4709e+013	-5.4394e+013	5.4394e+013	5.2500e-015
2.950e+000	5.0681e-006	-5.6288e+013	-5.5972e+013	5.5972e+013	5.2500e-015
3.000e+000	5.0889e-006	-5.7874e+013	-5.7556e+013	5.7556e+013	5.2500e-015
3.050e+000	5.1089e-006	-5.9466e+013	-5.9147e+013	5.9147e+013	5.2500e-015
3.100e+000	5.1282e-006	-6.1064e+013	-6.0743e+013	6.0743e+013	5.2500e-015
3.150e+000	5.1470e-006	-6.2667e+013	-6.2346e+013	6.2346e+013	5.2500e-015
3.200e+000	5.1652e-006	-6.4277e+013	-6.3955e+013	6.3955e+013	5.2500e-015
3.250e+000	5.1828e-006	-6.5892e+013	-6.5569e+013	6.5569e+013	5.2500e-015
3.300e+000	5.1999e-006	-6.7513e+013	-6.7188e+013	6.7188e+013	5.2500e-015
3.350e+000	5.2166e-006	-6.9139e+013	-6.8813e+013	6.8813e+013	5.2500e-015
3.400e+000	5.2327e-006	-7.0770e+013	-7.0443e+013	7.0443e+013	5.2500e-015
3.450e+000	5.2485e-006	-7.2406e+013	-7.2078e+013	7.2078e+013	5.2500e-015
3.500e+000	5.2638e-006	-7.4047e+013	-7.3718e+013	7.3718e+013	5.2500e-015
3.550e+000	5.2788e-006	-7.5692e+013	-7.5363e+013	7.5363e+013	5.2500e-015
3.600e+000	5.2933e-006	-7.7342e+013	-7.7012e+013	7.7012e+013	5.2500e-015
3.650e+000	5.3075e-006	-7.8997e+013	-7.8666e+013	7.8666e+013	5.2500e-015
3.700e+000	5.3214e-006	-8.0656e+013	-8.0324e+013	8.0324e+013	5.2500e-015
3.750e+000	5.3349e-006	-8.2319e+013	-8.1986e+013	8.1986e+013	5.2500e-015
3.800e+000	5.3481e-006	-8.3986e+013	-8.3653e+013	8.3653e+013	5.2500e-015
3.850e+000	5.3611e-006	-8.5658e+013	-8.5323e+013	8.5323e+013	5.2500e-015
3.900e+000	5.3737e-006	-8.7333e+013	-8.6998e+013	8.6998e+013	5.2500e-015
3.950e+000	5.3861e-006	-8.9013e+013	-8.8676e+013	8.8676e+013	5.2500e-015
4.000e+000	5.3982e-006	-9.0696e+013	-9.0359e+013	9.0359e+013	5.2500e-015
4.050e+000	5.4101e-006	-9.2383e+013	-9.2045e+013	9.2045e+013	5.2500e-015
4.100e+000	5.4217e-006	-9.4073e+013	-9.3735e+013	9.3735e+013	5.2500e-015
4.150e+000	5.4330e-006	-9.5767e+013	-9.5428e+013	9.5428e+013	5.2500e-015
4.200e+000	5.4440e-006	-9.7465e+013	-9.7125e+013	9.7125e+013	5.2500e-015
4.250e+000	5.4549e-006	-9.9166e+013	-9.8825e+013	9.8825e+013	5.2500e-015
4.300e+000	5.4657e-006	-1.0087e+014	-1.0053e+014	1.0053e+014	5.2500e-015
4.350e+000	5.4762e-006	-1.0258e+014	-1.0224e+014	1.0224e+014	5.2500e-015
4.400e+000	5.4865e-006	-1.0429e+014	-1.0395e+014	1.0395e+014	5.2500e-015
4.450e+000	5.4967e-006	-1.0600e+014	-1.0566e+014	1.0566e+014	5.2500e-015
4.500e+000	5.5066e-006	-1.0772e+014	-1.0738e+014	1.0738e+014	5.2500e-015
4.550e+000	5.5164e-006	-1.0944e+014	-1.0910e+014	1.0910e+014	5.2500e-015
4.600e+000	5.5260e-006	-1.1116e+014	-1.1082e+014	1.1082e+014	5.2500e-015
4.650e+000	5.5355e-006	-1.1289e+014	-1.1254e+014	1.1254e+014	5.2500e-015
4.700e+000	5.5448e-006	-1.1462e+014	-1.1427e+014	1.1427e+014	5.2500e-015
4.750e+000	5.5539e-006	-1.1635e+014	-1.1600e+014	1.1600e+014	5.2500e-015
4.800e+000	5.5629e-006	-1.1809e+014	-1.1774e+014	1.1774e+014	5.2500e-015
4.850e+000	5.5718e-006	-1.1982e+014	-1.1948e+014	1.1948e+014	5.2500e-015
4.900e+000	5.5805e-006	-1.2156e+014	-1.2122e+014	1.2122e+014	5.2500e-015
4.950e+000	5.5891e-006	-1.2331e+014	-1.2296e+014	1.2296e+014	5.2500e-015
5.000e+000	5.5975e-006	-1.2505e+014	-1.2470e+014	1.2470e+014	5.2500e-015
5.050e+000	5.6058e-006	-1.2680e+014	-1.2645e+014	1.2645e+014	5.2500e-015
5.100e+000	5.6140e-006	-1.2855e+014	-1.2820e+014	1.2820e+014	5.2500e-015
5.150e+000	5.6221e-006	-1.3031e+014	-1.2996e+014	1.2996e+014	5.2500e-015
5.200e+000	5.6300e-006	-1.3206e+014	-1.3171e+014	1.3171e+014	5.2500e-015
5.250e+000	5.6379e-006	-1.3382e+014	-1.3347e+014	1.3347e+014	5.2500e-015
5.300e+000	5.6456e-006	-1.3558e+014	-1.3523e+014	1.3523e+014	5.2500e-015
5.350e+000	5.6532e-006	-1.3734e+014	-1.3699e+014	1.3699e+014	5.2500e-015
5.400e+000	5.6607e-006	-1.3911e+014	-1.3876e+014	1.3876e+014	5.2500e-015
5.450e+000	5.6681e-006	-1.4088e+014	-1.4052e+014	1.4052e+014	5.2500e-015
5.500e+000	5.6754e-006	-1.4265e+014	-1.4229e+014	1.4229e+014	5.2500e-015
5.550e+000	5.6826e-006	-1.4442e+014	-1.4407e+014	1.4407e+014	5.2500e-015
5.600e+000	5.6897e-006	-1.4620e+014	-1.4584e+014	1.4584e+014	5.2500e-015
5.650e+000	5.6967e-006	-1.4797e+014	-1.4762e+014	1.4762e+014	5.2500e-015
5.700e+000	5.7037e-006	-1.4975e+014	-1.4940e+014	1.4940e+014	5.2500e-015
5.750e+000	5.7105e-006	-1.5153e+014	-1.5118e+014	1.5118e+014	5.2500e-015
5.800e+000	5.7173e-006	-1.5332e+014	-1.5296e+014	1.5296e+014	5.2500e-015
5.850e+000	5.7239e-006	-1.5510e+014	-1.5474e+014	1.5474e+014	5.2500e-015
5.900e+000	5.7305e-006	-1.5689e+014	-1.5653e+014	1.5653e+014	5.2500e-015
5.950e+000	5.7370e-006	-1.5868e+014	-1.5832e+014	1.5832e+014	5.2500e-015
6.000e+000	5.7434e-006	-1.6047e+014	-1.6011e+014	1.6011e+014	5.2500e-015
6.050e+000	5.7498e-006	-1.6226e+014	-1.6191e+014	1.6191e+014	5.2500e-015
6.100e+000	5.7561e-006	-1.6406e+014	-1.6370e+014	1.6370e+014	5.2500e-015
6.150e+000	5.7623e-006	-1.6586e+014	-1.6550e+014	1.6550e+014	5.2500e-015
6.200e+000	5.7684e-006	-1.6766e+014	-1.6730e+014	1.6730e+014	5.2500e-015
6.250e+000	5.7744e-006	-1.6946e+014	-1.6910e+014	1.6910e+014	5.2500e-015
6.300e+000	5.7804e-006	-1.7126e+014	-1.7090e+014	1.7090e+014	5.2500e-015
6.350e+000	5.7864e-006	-1.7307e+014	-1.7271e+014	1.7271e+014	5.2500e-015
6.400e+000	5.7922e-006	-1.7487e+014	-1.7451e+014	1.7451e+014	5.2500e-015
6.450e+000	5.7980e-006	-1.7668e+014	-1.7632e+014	1.7632e+014	5.2500e-015
6.500e+000	5.8037e-006	-1.7849e+014	-1.7813e+014	1.7813e+014	5.2500e-015
6.550e+000	5.8094e-006	-1.8030e+014	-1.7994e+014	1.7994e+014	5.2500e-015
6.600e+000	5.8150e-006	-1.8212e+014	-1.8176e+014	1.8176e+014	5.2500e-015
6.650e+000	5.8205e-006	-1.8393e+014	-1.8357e+014	1.8357e+014	5.2500e-015
6.700e+000	5.8260e-006	-1.8575e+014	-1.8539e+014	1.8539e+014	5.2500e-015
6.750e+000	5.8314e-006	-1.8757e+014	-1.8721e+014	1.8721e+014	5.2500e-015
6.800e+000	5.8368e-006	-1.8939e+014	-1.8903e+014	1.8903e+014	5.2500e-015
6.850e+000	5.8421e-006	-1.9121e+014	-1.9085e+014	1.9085e+014	5.2500e-015
6.900e+000	5.8474e-006	-1.9304e+014	-1.9267e+014	1.9267e+014	5.2500e-015
6.950e+000	5.8526e-006	-1.9486e+014	-1.9450e+014	1.9450e+014	5.2500e-015
7.000e+000	5.8577e-006	-1.9669e+014	-1.9633e+014	1.9633e+014	5.2500e-015
