Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13	el Psi 14	el Psi 15	el Psi 16	el Psi 17
6.100000e+002	1.0201e-018	1.2006e-011	1.0942e-007	1.8883e-005	-1.3639e-011	5.9828e-004	1.1595e-004	6.6387e-003	3.2843e-002	7.5980e-002	6.3581e-002	-3.1812e-002	-4.4700e-002	4.5762e-002	5.3640e-003	-4.4045e-002	3.8638e-002
6.200000e+002	3.7453e-019	5.0536e-012	5.6153e-008	1.0961e-005	-2.1589e-011	3.8440e-004	8.0062e-005	4.7004e-003	2.5828e-002	6.8329e-002	7.4270e-002	-1.0820e-002	-5.6644e-002	2.9017e-002	2.9026e-002	-4.8108e-002	1.7757e-002
6.300000e+002	1.3689e-019	2.1158e-012	2.8608e-008	6.3055e-006	-3.4570e-011	2.4425e-004	5.4561e-005	3.2819e-003	1.9935e-002	5.9668e-002	7.9989e-002	1.1412e-002	-5.9588e-002	6.4546e-003	4.5721e-002	-3.8798e-002	-8.7324e-003
6.400000e+002	4.9816e-020	8.8115e-013	1.4472e-008	3.5955e-006	-5.5978e-011	1.5354e-004	3.6718e-005	2.2611e-003	1.5120e-002	5.0757e-002	8.1206e-002	3.2458e-002	-5.3697e-002	-1.7334e-002	5.1930e-002	-1.9115e-002	-3.2557e-002
6.500000e+002	1.8050e-020	3.6507e-013	7.2703e-009	2.0328e-006	-9.1617e-011	9.5526e-005	2.4414e-005	1.5381e-003	1.1280e-002	4.2168e-002	7.8703e-002	5.0469e-002	-4.0408e-002	-3.8012e-002	4.6771e-002	5.4775e-003	-4.6786e-002
6.600000e+002	6.5124e-021	1.5049e-013	3.6277e-009	1.1397e-006	-1.5150e-010	5.8837e-005	1.6045e-005	1.0335e-003	8.2859e-003	3.4282e-002	7.3411e-002	6.4286e-002	-2.1970e-002	-5.2265e-002	3.1860e-002	2.8720e-002	-4.7711e-002
6.700000e+002	2.3398e-021	6.1724e-014	1.7981e-009	6.3385e-007	-2.5301e-010	3.5888e-005	1.0428e-005	6.8630e-004	5.9970e-003	2.7319e-002	6.6269e-002	7.3418e-002	-9.5861e-004	-5.8219e-002	1.0632e-002	4.5177e-002	-3.5558e-002
6.800000e+002	8.3721e-022	2.5192e-014	8.8547e-010	3.4973e-007	-4.2663e-010	2.1684e-005	6.7038e-006	4.5059e-004	4.2798e-003	2.1369e-002	5.8131e-002	7.7945e-002	2.0156e-002	-5.5519e-002	-1.2597e-002	5.1420e-002	-1.4020e-002
6.900000e+002	2.9835e-022	1.0232e-014	4.3327e-010	1.9147e-007	-7.2611e-010	1.2982e-005	4.2649e-006	2.9260e-004	3.0134e-003	1.6426e-002	4.9702e-002	7.8367e-002	3.9316e-002	-4.5125e-002	-3.3582e-002	4.6553e-002	1.1078e-002
7.000000e+002	1.0589e-022	4.1363e-015	2.1068e-010	1.0404e-007	-1.2471e-009	7.7025e-006	2.6858e-006	1.8799e-004	2.0946e-003	1.2420e-002	4.1521e-002	7.5443e-002	5.5055e-002	-2.8926e-002	-4.8922e-002	3.2092e-002	3.3474e-002
